text,intent
"Why is action8 x4 y4 z4 crate4 used in the plan?","Why is action A used in the plan?"
"Why is action1 x5 y5 used in the plan?","Why is action A used in the plan?"
"Why is action2 x5 y5 used in the plan?","Why is action A used in the plan?"
"Why is action3 x5 y5 used in the plan?","Why is action A used in the plan?"
"Why is action4 x5 y5 used in the plan?","Why is action A used in the plan?"
"Why is action5 x5 y5 z5 crate5 used in the plan?","Why is action A used in the plan?"
"Why is action6 x5 y5 z5 crate5 used in the plan?","Why is action A used in the plan?"
"Why is action7 x5 y5 z5 crate5 used in the plan?","Why is action A used in the plan?"
"Why is action8 x5 y5 z5 crate5 used in the plan?","Why is action A used in the plan?"
"Why is action1 x6 y6 used in the plan?","Why is action A used in the plan?"
"Why is action2 x6 y6 used in the plan?","Why is action A used in the plan?"
"Why is action3 x6 y6 used in the plan?","Why is action A used in the plan?"
"Why is action4 x6 y6 used in the plan?","Why is action A used in the plan?"
"Why is action5 x6 y6 z6 crate6 used in the plan?","Why is action A used in the plan?"
"Why is action6 x6 y6 z6 crate6 used in the plan?","Why is action A used in the plan?"
"Why is action7 x6 y6 z6 crate6 used in the plan?","Why is action A used in the plan?"
"Why is action8 x6 y6 z6 crate6 used in the plan?","Why is action A used in the plan?"
"Why is action1 x7 y7 used in the plan?","Why is action A used in the plan?"
"Why is action2 x7 y7 used in the plan?","Why is action A used in the plan?"
"Why is action3 x7 y7 used in the plan?","Why is action A used in the plan?"
"Why is action4 x7 y7 used in the plan?","Why is action A used in the plan?"
"Why is action5 x7 y7 z7 crate7 used in the plan?","Why is action A used in the plan?"
"Why is action6 x7 y7 z7 crate7 used in the plan?","Why is action A used in the plan?"
"Why is action7 x7 y7 z7 crate7 used in the plan?","Why is action A used in the plan?"
"Why is action8 x7 y7 z7 crate7 used in the plan?","Why is action A used in the plan?"
"Why is action1 x8 y8 used in the plan?","Why is action A used in the plan?"
"Why is action2 x8 y8 used in the plan?","Why is action A used in the plan?"
"Why is action3 x8 y8 used in the plan?","Why is action A used in the plan?"
"Why is action4 x8 y8 used in the plan?","Why is action A used in the plan?"
"Why is action5 x8 y8 z8 crate8 used in the plan?","Why is action A used in the plan?"
"Why is action6 x8 y8 z8 crate8 used in the plan?","Why is action A used in the plan?"
"Why is action7 x8 y8 z8 crate8 used in the plan?","Why is action A used in the plan?"
"Why is action8 x8 y8 z8 crate8 used in the plan?","Why is action A used in the plan?"
"Why is action1 x9 y9 used in the plan?","Why is action A used in the plan?"
"Why is action2 x9 y9 used in the plan?","Why is action A used in the plan?"
"Why is action3 x9 y9 used in the plan?","Why is action A used in the plan?"
"Why is action4 x9 y9 used in the plan?","Why is action A used in the plan?"
"Why is action5 x9 y9 z9 crate9 used in the plan?","Why is action A used in the plan?"
"Why is action6 x9 y9 z9 crate9 used in the plan?","Why is action A used in the plan?"
"Why is action7 x9 y9 z9 crate9 used in the plan?","Why is action A used in the plan?"
"Why is action8 x9 y9 z9 crate9 used in the plan?","Why is action A used in the plan?"
"Why is action1 x1 y1 used rather than action2 x1 y1?","Why is action A used in state S, rather than action B?"
"Why is action1 x1 y1 used rather than action3 x1 y1?","Why is action A used in state S, rather than action B?"
"Why is action1 x1 y1 used rather than action7 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action1 x1 y1 used rather than action8 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action2 x1 y1 used rather than action1 x1 y1?","Why is action A used in state S, rather than action B?"
"Why is action2 x1 y1 used rather than action3 x1 y1?","Why is action A used in state S, rather than action B?"
"Why is action2 x1 y1 used rather than action6 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action2 x1 y1 used rather than action7 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action2 x1 y1 used rather than action8 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action3 x1 y1 used rather than action1 x1 y1?","Why is action A used in state S, rather than action B?"
"Why is action3 x1 y1 used rather than action2 x1 y1?","Why is action A used in state S, rather than action B?"
"Why is action3 x1 y1 used rather than action4 x1 y1?","Why is action A used in state S, rather than action B?"
"Why is action3 x1 y1 used rather than action7 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action3 x1 y1 used rather than action8 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action4 x1 y1 used rather than action3 x1 y1?","Why is action A used in state S, rather than action B?"
"Why is action4 x1 y1 used rather than action5 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action4 x1 y1 used rather than action6 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action4 x1 y1 used rather than action7 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action4 x1 y1 used rather than action8 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action5 x1 y1 z1 crate1 used rather than action1 x1 y1?","Why is action A used in state S, rather than action B?"
"Why is action5 x1 y1 z1 crate1 used rather than action4 x1 y1?","Why is action A used in state S, rather than action B?"
"Why is action5 x1 y1 z1 crate1 used rather than action6 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action5 x1 y1 z1 crate1 used rather than action7 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action5 x1 y1 z1 crate1 used rather than action8 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action6 x1 y1 z1 crate1 used rather than action3 x1 y1?","Why is action A used in state S, rather than action B?"
"Why is action6 x1 y1 z1 crate1 used rather than action4 x1 y1?","Why is action A used in state S, rather than action B?"
"Why is action6 x1 y1 z1 crate1 used rather than action5 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action6 x1 y1 z1 crate1 used rather than action7 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action6 x1 y1 z1 crate1 used rather than action8 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action7 x1 y1 z1 crate1 used rather than action1 x1 y1?","Why is action A used in state S, rather than action B?"
"Why is action7 x1 y1 z1 crate1 used rather than action2 x1 y1?","Why is action A used in state S, rather than action B?"
"Why is action7 x1 y1 z1 crate1 used rather than action3 x1 y1?","Why is action A used in state S, rather than action B?"
"Why is action7 x1 y1 z1 crate1 used rather than action4 x1 y1?","Why is action A used in state S, rather than action B?"
"Why is action7 x1 y1 z1 crate1 used rather than action5 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action7 x1 y1 z1 crate1 used rather than action6 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action8 x1 y1 z1 crate1 used rather than action3 x1 y1?","Why is action A used in state S, rather than action B?"
"Why is action8 x1 y1 z1 crate1 used rather than action4 x1 y1?","Why is action A used in state S, rather than action B?"
"Why is action8 x1 y1 z1 crate1 used rather than action5 x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is action1 x2 y2 used rather than action2 x2 y2?","Why is action A used in state S, rather than action B?"
"Why is action1 x2 y2 used rather than action3 x2 y2?","Why is action A used in state S, rather than action B?"
"Why is action1 x2 y2 used rather than action4 x2 y2?","Why is action A used in state S, rather than action B?"
"Why is action1 x2 y2 used rather than action6 x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is action2 x2 y2 used rather than action1 x2 y2?","Why is action A used in state S, rather than action B?"
"Why is action2 x2 y2 used rather than action3 x2 y2?","Why is action A used in state S, rather than action B?"
"Why is action2 x2 y2 used rather than action5 x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is action2 x2 y2 used rather than action6 x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is action2 x2 y2 used rather than action8 x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is action3 x2 y2 used rather than action2 x2 y2?","Why is action A used in state S, rather than action B?"
"Why is action3 x2 y2 used rather than action5 x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is action3 x2 y2 used rather than action6 x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is action3 x2 y2 used rather than action7 x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is action4 x2 y2 used rather than action1 x2 y2?","Why is action A used in state S, rather than action B?"
"Why is action4 x2 y2 used rather than action2 x2 y2?","Why is action A used in state S, rather than action B?"
"Why is action4 x2 y2 used rather than action5 x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is action4 x2 y2 used rather than action7 x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is action5 x2 y2 z2 crate2 used rather than action2 x2 y2?","Why is action A used in state S, rather than action B?"
"Why is action5 x2 y2 z2 crate2 used rather than action4 x2 y2?","Why is action A used in state S, rather than action B?"
"Why is action5 x2 y2 z2 crate2 used rather than action6 x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is action5 x2 y2 z2 crate2 used rather than action7 x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is action5 x2 y2 z2 crate2 used rather than action8 x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is action6 x2 y2 z2 crate2 used rather than action2 x2 y2?","Why is action A used in state S, rather than action B?"
"Why is action6 x2 y2 z2 crate2 used rather than action4 x2 y2?","Why is action A used in state S, rather than action B?"
"Why is action6 x2 y2 z2 crate2 used rather than action5 x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is action6 x2 y2 z2 crate2 used rather than action8 x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is action7 x2 y2 z2 crate2 used rather than action2 x2 y2?","Why is action A used in state S, rather than action B?"
"Why is action7 x2 y2 z2 crate2 used rather than action4 x2 y2?","Why is action A used in state S, rather than action B?"
"Why is action7 x2 y2 z2 crate2 used rather than action6 x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is action7 x2 y2 z2 crate2 used rather than action8 x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is action8 x2 y2 z2 crate2 used rather than action2 x2 y2?","Why is action A used in state S, rather than action B?"
"Why is action8 x2 y2 z2 crate2 used rather than action3 x2 y2?","Why is action A used in state S, rather than action B?"
"Why is action8 x2 y2 z2 crate2 used rather than action4 x2 y2?","Why is action A used in state S, rather than action B?"
"Why is action8 x2 y2 z2 crate2 used rather than action6 x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
