text,label
"Why is pushUp x2 y2 z2 crate2 used in the plan?",2
"Why is pushDown x2 y2 z2 crate2 used in the plan?",2
"Why is moveLeft x3 y3 used in the plan?",2
"Why is moveRight x3 y3 used in the plan?",2
"Why is moveUp x3 y3 used in the plan?",2
"Why is moveDown x3 y3 used in the plan?",2
"Why is pushLeft x3 y3 z3 crate3 used in the plan?",2
"Why is pushRight x3 y3 z3 crate3 used in the plan?",2
"Why is pushUp x3 y3 z3 crate3 used in the plan?",2
"Why is pushDown x3 y3 z3 crate3 used in the plan?",2
"Why is moveLeft x1 y1 used rather than moveRight x1 y1?",3
"Why is moveLeft x1 y1 used rather than moveUp x1 y1?",3
"Why is moveLeft x1 y1 used rather than moveDown x1 y1?",3
"Why is moveLeft x1 y1 used rather than pushLeft x1 y1 z1 crate1?",3
"Why is moveLeft x1 y1 used rather than pushRight x1 y1 z1 crate1?",3
"Why is moveLeft x1 y1 used rather than pushUp x1 y1 z1 crate1?",3
"Why is moveLeft x1 y1 used rather than pushDown x1 y1 z1 crate1?",3
"Why is moveRight x1 y1 used rather than moveLeft x1 y1?",3
"Why is moveRight x1 y1 used rather than moveUp x1 y1?",3
"Why is moveRight x1 y1 used rather than moveDown x1 y1?",3
"Why is moveRight x1 y1 used rather than pushLeft x1 y1 z1 crate1?",3
"Why is moveRight x1 y1 used rather than pushRight x1 y1 z1 crate1?",3
"Why is moveRight x1 y1 used rather than pushUp x1 y1 z1 crate1?",3
"Why is moveRight x1 y1 used rather than pushDown x1 y1 z1 crate1?",3
"Why is moveUp x1 y1 used rather than moveLeft x1 y1?",3
"Why is moveUp x1 y1 used rather than moveRight x1 y1?",3
"Why is moveUp x1 y1 used rather than moveDown x1 y1?",3
"Why is moveUp x1 y1 used rather than pushLeft x1 y1 z1 crate1?",3
"Why is moveUp x1 y1 used rather than pushRight x1 y1 z1 crate1?",3
"Why is moveUp x1 y1 used rather than pushUp x1 y1 z1 crate1?",3
"Why is moveUp x1 y1 used rather than pushDown x1 y1 z1 crate1?",3
"Why is moveDown x1 y1 used rather than moveLeft x1 y1?",3
"Why is moveDown x1 y1 used rather than moveRight x1 y1?",3
"Why is moveDown x1 y1 used rather than moveUp x1 y1?",3
"Why is moveDown x1 y1 used rather than pushLeft x1 y1 z1 crate1?",3
"Why is moveDown x1 y1 used rather than pushRight x1 y1 z1 crate1?",3
"Why is moveDown x1 y1 used rather than pushUp x1 y1 z1 crate1?",3
"Why is moveDown x1 y1 used rather than pushDown x1 y1 z1 crate1?",3
"Why is pushLeft x1 y1 z1 crate1 used rather than moveLeft x1 y1?",3
"Why is pushLeft x1 y1 z1 crate1 used rather than moveRight x1 y1?",3
"Why is pushLeft x1 y1 z1 crate1 used rather than moveUp x1 y1?",3
"Why is pushLeft x1 y1 z1 crate1 used rather than moveDown x1 y1?",3
"Why is pushLeft x1 y1 z1 crate1 used rather than pushRight x1 y1 z1 crate1?",3
"Why is pushLeft x1 y1 z1 crate1 used rather than pushUp x1 y1 z1 crate1?",3
"Why is pushLeft x1 y1 z1 crate1 used rather than pushDown x1 y1 z1 crate1?",3
"Why is pushRight x1 y1 z1 crate1 used rather than moveLeft x1 y1?",3
"Why is pushRight x1 y1 z1 crate1 used rather than moveRight x1 y1?",3
"Why is pushRight x1 y1 z1 crate1 used rather than moveUp x1 y1?",3
"Why is pushRight x1 y1 z1 crate1 used rather than moveDown x1 y1?",3
"Why is pushRight x1 y1 z1 crate1 used rather than pushLeft x1 y1 z1 crate1?",3
"Why is pushRight x1 y1 z1 crate1 used rather than pushUp x1 y1 z1 crate1?",3
"Why is pushRight x1 y1 z1 crate1 used rather than pushDown x1 y1 z1 crate1?",3
"Why is pushUp x1 y1 z1 crate1 used rather than moveLeft x1 y1?",3
"Why is pushUp x1 y1 z1 crate1 used rather than moveRight x1 y1?",3
"Why is pushUp x1 y1 z1 crate1 used rather than moveUp x1 y1?",3
"Why is pushUp x1 y1 z1 crate1 used rather than moveDown x1 y1?",3
"Why is pushUp x1 y1 z1 crate1 used rather than pushLeft x1 y1 z1 crate1?",3
"Why is pushUp x1 y1 z1 crate1 used rather than pushRight x1 y1 z1 crate1?",3
"Why is pushUp x1 y1 z1 crate1 used rather than pushDown x1 y1 z1 crate1?",3
"Why is pushDown x1 y1 z1 crate1 used rather than moveLeft x1 y1?",3
"Why is pushDown x1 y1 z1 crate1 used rather than moveRight x1 y1?",3
"Why is pushDown x1 y1 z1 crate1 used rather than moveUp x1 y1?",3
"Why is pushDown x1 y1 z1 crate1 used rather than moveDown x1 y1?",3
"Why is pushDown x1 y1 z1 crate1 used rather than pushLeft x1 y1 z1 crate1?",3
"Why is pushDown x1 y1 z1 crate1 used rather than pushRight x1 y1 z1 crate1?",3
"Why is pushDown x1 y1 z1 crate1 used rather than pushUp x1 y1 z1 crate1?",3
