text,label
Why is 'push right' preferred over 'move up' in the plan?,3
Why is 'push right' selected instead of 'move down' in the plan?,3
Why is 'push right' used rather than 'push left' in the plan?,3
Why is 'push right' chosen instead of 'push up' in the plan?,3
Why is 'push right' preferred over 'push down' in the plan?,3
Why is 'push left' used rather than 'move right' in the plan?,3
Why is 'push left' chosen instead of 'move left' in the plan?,3
Why is 'push left' preferred over 'move up' in the plan?,3
Why is 'push left' selected instead of 'move down' in the plan?,3
Why is 'push left' used rather than 'push right' in the plan?,3
Why do we prefer 'push box to the left' over 'pushing the box right' in the plan?,3
What's the reason for 'moving right' rather than 'pushing the box down'?,3
Why choose 'moving left' instead of 'moving down' in the Sokoban plan?,3
Why 'pushing up' is selected over 'moving up' in the strategy?,3
What's the reasoning for 'pushing right' rather than 'moving left' in the current plan?,3
Why did we decide on 'push the box up' and not 'moving down'?,3
What's the justification for 'push the box right' instead of 'moving left'?,3
Why 'moving up' is favored over 'pushing the box left' in this plan?,3
Why is 'move box to the right' preferred over 'push the box down'?,3
Why opt for 'moving the box left' instead of 'pushing up' in the plan?,3
Why does the plan include 'pushing right' rather than 'moving down'?,3
Why 'push the box down' instead of 'moving left'?,3
Why was 'moving right' chosen over 'pushing up' in the plan?,3
What's the rationale behind 'moving up' and not 'pushing left'?,3
Why select 'moving down' rather than 'push the box right' in the strategy?,3
Why 'pushing left' instead of 'moving up'?,3
Why is 'push the box up' preferred over 'moving right'?,3
What's the reason for 'moving left' rather than 'push the box down'?,3
Why use 'pushing right' over 'moving left' in the plan?,3
Why 'push the box down' and not 'move the box up' in this scenario?,3
Why did we include 'pushing left' rather than 'moving down'?,3
Why choose 'move box up' instead of 'push the box right'?,3
What's the reason for 'pushing up' over 'moving right' in the plan?,3
Why 'pushing the box right' instead of 'move the box down'?,3
Why was 'moving right' chosen instead of 'pushing the box left'?,3
Why is 'moving up' used rather than 'pushing down'?,3
Why 'moving left' rather than 'pushing the box up'?,3
What's the rationale behind 'pushing the box right' instead of 'move the box left'?,3
Why 'pushing up' instead of 'moving down' in the plan?,3
Why choose 'pushing down' rather than 'moving right'?,3
Why 'moving right' rather than 'pushing the box up' in the plan?,3
Why select 'pushing left' over 'moving up'?,3
What's the reasoning for 'move the box down' instead of 'pushing the box right'?,3
Why 'moving left' instead of 'pushing the box up' in this strategy?,3
Why prefer 'pushing right' over 'moving the box down'?,3
Why opt for 'push the box down' rather than 'moving up' in the plan?,3
Why 'moving up' instead of 'pushing the box left'?,3
Why is 'pushing left' chosen rather than 'moving down'?,3
Why was 'push the box right' favored over 'moving left'?,3
